year,sex,course,intake,enrolment,graduates
2015,F,Business & Services,2184,5048,2223
2015,MF,Design & Media,933,1565,705
2015,F,Design & Media,466,798,355
2015,MF,Engineering,4486,9045,3966
2015,F,Engineering,623,1287,554
2015,MF,Electronics & Infocomm Technology,3383,6927,3266
2015,F,Electronics & Infocomm Technology,891,1873,868
2015,MF,Hospitality,565,1225,612
2015,F,Hospitality,307,667,325
2016,MF,Applied and Health Sciences,1234,2322,988
2016,F,Applied and Health Sciences,740,1427,632
2016,MF,Business & Services,4152,7411,3654
2016,F,Business & Services,2591,4594,2334
2016,MF,Design & Media,965,1851,735
2016,F,Design & Media,479,921,373
2016,MF,Engineering,4488,8483,3753
2016,F,Engineering,647,1164,469
2016,MF,Electronics & Infocomm Technology,3318,6324,2858
2016,F,Electronics & Infocomm Technology,859,1638,764
2016,MF,Hospitality,606,1128,528
2016,F,Hospitality,319,602,291
2017,MF,Applied and Health Sciences,1342,2537,1059
2017,F,Applied and Health Sciences,850,1558,643
2017,MF,Business & Services,4344,7797,3496
2017,F,Business & Services,2680,4836,2172
2017,MF,Design & Media,967,1862,889
2017,F,Design & Media,486,921,440
2017,MF,Engineering,4685,8643,3805
2017,F,Engineering,676,1228,530
2017,MF,Electronics & Infocomm Technology,3570,6531,3100
2017,F,Electronics & Infocomm Technology,925,1692,746
2017,MF,Hospitality,598,1138,509
2017,F,Hospitality,298,569,277
2018,MF,Applied and Health Sciences,1259,2503,1163
2018,F,Applied and Health Sciences,806,1602,737
2018,MF,Business & Services,4125,7762,3608
2018,F,Business & Services,2507,4732,2221
2018,MF,Design & Media,927,1815,876
2018,F,Design & Media,481,912,420
2018,MF,Engineering,4524,8639,3992
2018,F,Engineering,628,1198,559
2018,MF,Electronics & Infocomm Technology,3321,6432,3241
2018,F,Electronics & Infocomm Technology,850,1632,832
2018,MF,Hospitality,663,1216,541
2018,F,Hospitality,357,631,257
2019,MF,Applied and Health Sciences,1305,2458,1039
2019,F,Applied and Health Sciences,822,1565,701
2019,MF,Business & Services,4138,7545,3631
2019,F,Business & Services,2575,4623,2285
2019,MF,Design & Media,1051,1902,804
2019,F,Design & Media,590,1024,405
2019,MF,Engineering,4585,8552,3731
2019,F,Engineering,714,1225,502
2019,MF,Electronics & Infocomm Technology,3380,6265,2821
2019,F,Electronics & Infocomm Technology,837,1564,714
2019,MF,Hospitality,688,1246,569
2019,F,Hospitality,370,657,323
2020,MF,Applied and Health Sciences,1296,2500,1127
2020,F,Applied and Health Sciences,855,1603,700
2020,MF,Business & Services,3831,7295,3659
2020,F,Business & Services,2401,4544,2266
2020,MF,Design & Media,1010,1991,850
2020,F,Design & Media,532,1080,471
2020,MF,Engineering,4502,8500,3953
2020,F,Engineering,716,1305,552
2020,MF,Electronics & Infocomm Technology,3309,6245,2948
2020,F,Electronics & Infocomm Technology,820,1543,710
2020,MF,Hospitality,713,1294,607
2020,F,Hospitality,392,695,328
2021,F,Applied & Health Sciences,878,1683,722
2021,F,Business & Services,2445,4536,2237
2021,F,Design & Media,604,1112,501
2021,F,Electronics & Infocomm Technology,848,1543,724
2021,F,Engineering,734,1368,633
2021,F,Hospitality,396,715,356
2021,MF,Applied & Health Sciences,1335,2549,1105
2021,MF,Business & Services,3903,7260,3519
2021,MF,Design & Media,1009,1966,912
2021,MF,Electronics & Infocomm Technology,3313,6235,3022
2021,MF,Engineering,4464,8550,4023
2021,MF,Hospitality,714,1302,643
2022,F,Applied & Health Sciences,934,1770,789
2022,F,Business & Services,2316,4376,2183
2022,F,Design & Media,586,1152,529
2022,F,Electronics & Infocomm Technology,768,1510,742
2022,F,Engineering,828,1472,593
2022,F,Hospitality,382,696,370
2022,MF,Applied & Health Sciences,1341,2605,1185
2022,MF,Business & Services,3804,7118,3522
2022,MF,Design & Media,1016,1962,927
2022,MF,Electronics & Infocomm Technology,3438,6333,2995
2022,MF,Engineering,4321,8300,4050
2022,MF,Hospitality,657,1252,653
